fid,X,Y,CITY_NAME,CNTRY_NAME,POP,POP_RANK,max_dtw
"1299","101.432997322276","0.550997967664604",Pekanbaru,Indonesia,"897767","3","0.40085"
"1300","103.831794330751","1.268855986133",Singapore,Singapore,"5703569","1",
"1301","101.250000362102","6.86400296594756",Pattani,Thailand,"104617","5",
"1302","101.288997413776","6.55000202546983",Yala,Thailand,"119744","5","0.43412"
"1303","101.82500130222","6.42799803944746",Narathiwat,Thailand,"133718","5","0.44267"
"1304","102.240000394974","6.1180019690023",Kota Baharu,Malaysia,"332288","4","0.41489"
"1305","105.801003372573","11.0799990367117",Svay Rieng,Cambodia,"0","0","0.42055"
"1306","104.783301375175","10.9833029631192",Takev,Cambodia,"0","0","0.42553"
"1307","106.652745283463","10.9690740161793",Thu Dau Mot,Vietnam,"0","0","0.4127"
"1308","106.816662308716","10.9500030173754",Bien Hoa,Vietnam,"0","0","0.38965"
"1309","106.662456361028","10.759184968507",Ho Chi Minh City,Vietnam,"8535000","1","0.43674"
"1310","104.182002433895","10.6059959179034",Kampot,Cambodia,"0","0","0.48927"
"1311","105.437997425172","10.3820040218393",Long Xuyen,Vietnam,"0","0","0.44736"
"1312","105.084999433021","10.0070010056085",Rach Gia,Vietnam,"0","0","0.43201"
"1313","106.413003314665","10.5309990545879",Tan An,Vietnam,"0","0","0.47126"
"1314","105.63599729936","10.4670000697695",Cao Lanh,Vietnam,"0","0","0.46398"
"1315","106.36700431841","10.3539960780284",My Tho,Vietnam,"0","0","0.48634"
"1316","105.964002294485","10.256003936418",Vinh Long,Vietnam,"0","0","0.44975"
"1317","106.374996351724","10.2349979371889",Truc Giang,Vietnam,"0","0","0.51537"
"1318","105.78400240886","10.0320029387529",Can Tho,Vietnam,"1753000","2","0.41963"
"1319","106.334001415834","9.93400202650877",Tra Vinh,Vietnam,"0","0",
"1320","105.966666415912","9.60000304776906",Soc Trang,Vietnam,"0","0","0.42891"
"1321","105.733323369243","9.28333798586419",Bac Lieu,Vietnam,"0","0",
"1322","91.1320022864106","29.6510040237945",Lhasa,China,"0","0","0.47249"
"1323","97.3880013083394","25.3790010015259",Myitkyina,Myanmar,"306949","4","0.46154"
"1324","93.9410013473316","24.7879979570613",Imphal,India,"277196","4","0.47169"
"1325","93.6167043445549","22.6500030297699",Haka,Myanmar,"0","0","0.49929"
"1326","92.7333004451776","23.6666970662006",Aizawl,India,"293416","4","0.48955"
"1327","93.5499963922377","27.1500029836191",Itanagar,India,"0","0","0.54631"
"1328","91.7832963233452","26.1333000110707",Dispur,India,"0","0","0.50359"
"1329","94.1159973380743","25.6680000088594",Kohima,India,"0","0","0.45151"
"1330","91.8833313607263","25.5666599673429",Shillong,India,"143229","5","0.52013"
"1331","91.2666963868274","23.8167000599165",Agartala,India,"400004","4","0.5157"
"1332","90.4071423233602","23.7099149440825",Dhaka,Bangladesh,"8906035","1","0.46225"
"1333","90.3740043861185","22.7030039706078",Barisal,Bangladesh,"339308","4","0.45289"
"1334","104.499999308288","43.4500020772899",Dalandzadgad,Mongolia,"0","0","0.55483"
"1335","110.116998405281","44.8849979293427",Saynshand,Mongolia,"0","0","0.53513"
"1336","111.648996310211","40.814000957412",Huhot,China,"2010000","2","0.51343"
"1337","106.26300032095","38.4679980352008",Yinchuan,China,"1700000","2","0.58414"
